time,Theta-Q
ordinal,kelvin
7.351136609166667331e+05,3.274295000000000186e+02
7.351136609398148721e+05,3.273271999999999480e+02
7.351136609629630111e+05,3.273271999999999480e+02
7.351136609861111501e+05,3.272248999999999910e+02
7.351136610092592891e+05,3.271225999999999772e+02
7.351136610324074281e+05,3.270203000000000202e+02
7.351136610555555671e+05,3.271225999999999772e+02
7.351136610787037062e+05,3.271225999999999772e+02
7.351136611018518452e+05,3.268156999999999925e+02
7.351136611249999842e+05,3.267134000000000356e+02
7.351136611481481232e+05,3.267134000000000356e+02
7.351136611712962622e+05,3.267134000000000356e+02
7.351136611944445176e+05,3.266110999999999649e+02
7.351136612175926566e+05,3.267134000000000356e+02
7.351136612407407956e+05,3.267134000000000356e+02
7.351136612638889346e+05,3.266110999999999649e+02
7.351136612870370736e+05,3.266110999999999649e+02
7.351136613101852126e+05,3.266110999999999649e+02
7.351136613333333516e+05,3.266110999999999649e+02
7.351136613564814907e+05,3.265088000000000079e+02
7.351136613796296297e+05,3.263041999999999803e+02
7.351136614027777687e+05,3.266110999999999649e+02
7.351136614259259077e+05,3.264064999999999941e+02
7.351136614490740467e+05,3.265088000000000079e+02
7.351136614722221857e+05,3.262019000000000233e+02
7.351136614953704411e+05,3.264064999999999941e+02
7.351136615185185801e+05,3.265088000000000079e+02
7.351136615416667191e+05,3.266110999999999649e+02
7.351136615648148581e+05,3.266110999999999649e+02
7.351136615879629971e+05,3.266110999999999649e+02
7.351136616111111362e+05,3.266110999999999649e+02
7.351136616342592752e+05,3.265088000000000079e+02
7.351136616574074142e+05,3.272248999999999910e+02
7.351136616805555532e+05,3.267134000000000356e+02
7.351136617037036922e+05,3.265088000000000079e+02
7.351136617268518312e+05,3.266110999999999649e+02
7.351136617499999702e+05,3.266110999999999649e+02
7.351136617731482256e+05,3.265088000000000079e+02
7.351136617962963646e+05,3.266110999999999649e+02
7.351136618194445036e+05,3.267134000000000356e+02
7.351136618425926426e+05,3.267134000000000356e+02
7.351136618657407816e+05,3.265088000000000079e+02
7.351136618888889207e+05,3.265088000000000079e+02
7.351136619120370597e+05,3.266110999999999649e+02
7.351136619351851987e+05,3.269180000000000064e+02
7.351136619583333377e+05,3.266110999999999649e+02
7.351136619814814767e+05,3.266110999999999649e+02
7.351136620046296157e+05,3.265088000000000079e+02
7.351136620277777547e+05,3.265088000000000079e+02
7.351136620509258937e+05,3.267134000000000356e+02
7.351136620740741491e+05,3.267134000000000356e+02
7.351136620972222881e+05,3.266110999999999649e+02
7.351136621203704271e+05,3.263041999999999803e+02
7.351136621435185662e+05,3.267134000000000356e+02
7.351136621666667052e+05,3.264064999999999941e+02
7.351136621898148442e+05,3.265088000000000079e+02
7.351136622129629832e+05,3.264064999999999941e+02
7.351136622361111222e+05,3.265088000000000079e+02
7.351136622592592612e+05,3.264064999999999941e+02
7.351136622824074002e+05,3.264064999999999941e+02
7.351136623055555392e+05,3.266110999999999649e+02
7.351136623287036782e+05,3.266110999999999649e+02
7.351136623518518172e+05,3.266110999999999649e+02
7.351136623750000726e+05,3.267134000000000356e+02
7.351136623981482117e+05,3.267134000000000356e+02
7.351136624212963507e+05,3.270203000000000202e+02
7.351136624444444897e+05,3.270203000000000202e+02
7.351136624675926287e+05,3.271225999999999772e+02
7.351136624907407677e+05,3.273271999999999480e+02
