time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136527222222649e+05,3.800000000000000000e+02,4.595174000000000092e+01,-3.068759999999997490e+00,2.424850050000000223e+01,9.077000000000001023e+01,1.050279999999999973e+03,1.156199999999999867e-01,8.922970540000000028e+01,0.000000000000000000e+00
7.351136527337962762e+05,3.840000000000000000e+02,4.595242000000000360e+01,-3.069619999999986248e+00,2.424850050000000223e+01,9.051000000000000512e+01,1.049840000000000146e+03,1.513400000000000023e-01,8.846624267999999347e+01,0.000000000000000000e+00
7.351136527453704039e+05,3.870000000000000000e+02,4.595277000000000100e+01,-3.069959999999980482e+00,2.424850050000000223e+01,9.064000000000000057e+01,1.049400000000000091e+03,1.663799999999999724e-01,8.808451131999999006e+01,0.000000000000000000e+00
7.351136527569444152e+05,3.900000000000000000e+02,4.595344999999999658e+01,-3.070819999999997663e+00,2.424850050000000223e+01,9.142000000000000171e+01,1.048960000000000036e+03,1.626200000000000145e-01,8.837080983999999262e+01,0.000000000000000000e+00
7.351136527685185429e+05,3.950000000000000000e+02,4.595380000000000109e+01,-3.071500000000014552e+00,2.412154499999999757e+01,9.259000000000000341e+01,1.048410000000000082e+03,1.391199999999999937e-01,8.903883971999999858e+01,0.000000000000000000e+00
7.351136527800926706e+05,3.980000000000000000e+02,4.595447999999999666e+01,-3.072190000000006194e+00,2.399458949999999646e+01,9.207000000000000739e+01,1.047970000000000027e+03,1.616799999999999904e-01,8.856167551999999432e+01,0.000000000000000000e+00
7.351136527916666819e+05,4.020000000000000000e+02,4.595499999999999829e+01,-3.072879999999997835e+00,2.399458949999999646e+01,9.181000000000000227e+01,1.047420000000000073e+03,1.785999999999999810e-01,8.817994416000000513e+01,0.000000000000000000e+00
7.351136528032408096e+05,4.060000000000000000e+02,4.595533999999999963e+01,-3.073390000000017608e+00,2.399458949999999646e+01,9.207000000000000739e+01,1.046980000000000018e+03,1.823599999999999943e-01,8.770277996000000087e+01,0.000000000000000000e+00
7.351136528148148209e+05,4.080000000000000000e+02,4.595586000000000126e+01,-3.074079999999980828e+00,2.386763400000000246e+01,9.284999999999999432e+01,1.046650000000000091e+03,1.945800000000000030e-01,8.770277996000000087e+01,0.000000000000000000e+00
7.351136528263889486e+05,1.282000000000000000e+03,4.595636999999999972e+01,-3.074770000000000891e+00,2.386763400000000246e+01,1.000000000000000000e+02,8.562000000000000455e+02,2.227800000000000058e-01,8.229999999999999716e+01,0.000000000000000000e+00
